iter	Passed	Remaining
0	227	113755
1	306	76421
2	394	65303
3	479	59414
4	565	55952
5	608	50116
6	693	48874
7	746	45923
8	833	45493
9	909	44554
10	999	44432
11	1082	44040
12	1162	43539
13	1237	42956
14	1309	42353
15	1387	41969
16	1437	40830
17	1509	40428
18	1593	40349
19	1671	40124
20	1759	40126
21	1829	39745
22	1897	39349
23	1989	39454
24	2075	39432
25	2163	39451
26	2243	39298
27	2326	39213
28	2372	38532
29	2444	38304
30	2534	38339
31	2623	38374
32	2709	38349
33	2814	38574
34	2941	39082
35	3034	39117
36	3149	39411
37	3232	39302
38	3309	39122
39	3393	39020
40	3459	38724
41	3540	38607
42	3626	38540
43	3708	38436
44	3789	38320
45	3868	38183
46	3955	38123
47	4037	38015
48	4141	38123
49	4220	37988
50	4310	37948
51	4409	37993
52	4493	37900
53	4577	37804
54	4661	37712
55	4752	37678
56	4841	37629
57	4927	37551
58	5010	37453
59	5095	37370
60	5207	37474
61	5301	37449
62	5389	37383
63	5483	37355
64	5567	37257
65	5654	37185
66	5742	37114
67	5822	36992
68	5893	36811
69	5979	36731
70	6061	36624
71	6150	36559
72	6238	36489
73	6314	36352
74	6399	36264
75	6488	36199
76	6573	36110
77	6660	36033
78	6753	35991
79	6839	35908
80	6923	35812
81	7009	35729
82	7089	35619
83	7173	35527
84	7260	35449
85	7345	35359
86	7434	35293
87	7522	35217
88	7604	35117
89	7686	35016
90	7777	34955
91	7862	34870
92	7954	34813
93	8038	34719
94	8121	34621
95	8212	34562
96	8306	34509
97	8386	34403
98	8478	34341
99	8510	34041
100	8593	33950
101	8677	33859
102	8799	33918
103	8896	33876
104	8990	33820
105	9074	33730
106	9159	33640
107	9249	33570
108	9332	33477
109	9413	33374
110	9499	33291
111	9590	33225
112	9677	33143
113	9769	33077
114	9877	33067
115	10013	33147
116	10124	33143
117	10294	33324
118	10392	33273
119	10570	33472
120	10684	33465
121	10787	33422
122	10890	33378
123	11002	33361
124	11097	33291
125	11191	33218
126	11281	33133
127	11375	33059
128	11465	32974
129	11559	32899
130	11657	32837
131	11750	32759
132	11801	32565
133	11887	32467
134	11998	32441
135	12112	32418
136	12149	32192
137	12246	32124
138	12342	32054
139	12441	31993
140	12539	31925
141	12604	31776
142	12698	31701
143	12789	31618
144	12888	31554
145	12986	31487
146	13078	31406
147	13176	31338
148	13279	31281
149	13378	31215
150	13482	31161
151	13579	31089
152	13668	30999
153	13760	30917
154	13855	30839
155	13954	30771
156	14058	30712
157	14159	30649
158	14277	30620
159	14366	30529
160	14470	30469
161	14563	30385
162	14659	30308
163	14751	30223
164	14842	30135
165	14952	30084
166	15045	30000
167	15133	29906
168	15218	29807
169	15312	29725
170	15407	29643
171	15467	29496
